"","idx","positive","negative","sentiment","covid","DateTime","Text"
"91",91,3,0,3,FALSE,"2020-04-04 19:19:53+00:00","The Paycheck Protection Program is up and running! The program is open to nonprofits as well, so banks be sure to sign up our Great Religious and Veteran Organizations that need help!"
"92",92,1,2,-1,TRUE,"2020-04-04 19:10:23+00:00","America owes our very hard working food supply workers so much as they produce and deliver high quality food for us during this horrible COVID-19. Join me in thanking our Farmers, Ranchers, Processors, Distributors and Stores! @JohnBoozman"
"93",93,0,0,0,FALSE,"2020-04-04 18:30:39+00:00",""
"94",94,1,0,1,FALSE,"2020-04-04 17:09:23+00:00","I will be holding a News Conference at 3:30 P.M. at the White House. Thank you!"
"95",95,1,4,-3,FALSE,"2020-04-04 17:07:39+00:00",".@CNN is Fake News. They will take a good story and make it as bad as is humanly possible. They are a JOKE!"
"96",96,1,0,1,FALSE,"2020-04-04 17:05:16+00:00","Good idea Dana!"
"97",97,1,0,1,FALSE,"2020-04-04 15:27:02+00:00","Great!"
"98",98,0,0,0,FALSE,"2020-04-04 15:17:20+00:00","I agree with this. Watch!"
"99",99,1,0,1,FALSE,"2020-04-04 15:09:33+00:00","I will immediately ask Congress for more money to support small businesses under the #PPPloan if the allocated money runs out. So far, way ahead of schedule. @BankofAmerica & community banks are rocking! @SBAgov @USTreasury"
"100",100,0,0,0,FALSE,"2020-04-04 13:48:32+00:00","I fully agree!"
"101",101,1,0,1,FALSE,"2020-04-04 13:41:32+00:00","Thank you Cory!"
"102",102,4,0,4,FALSE,"2020-04-03 18:49:51+00:00","Great job being done by @BankofAmerica and many community banks throughout the country. Small businesses appreciate your work!"
"103",103,3,0,3,FALSE,"2020-04-03 17:51:15+00:00","The Paycheck Protection Program is now available! #CARESAct Small Business Guidance & Loan Resources: http://SBA.gov"
"104",104,1,0,1,FALSE,"2020-04-03 17:33:21+00:00","Thank you @DeptofDefense, @USACEHQ, @USNationalGuard, @FEMA, and @CDCgov! http://CoronaVirus.gov"
"105",105,3,0,3,FALSE,"2020-04-03 17:29:14+00:00","Thank you @USNationalGuard, keep up the great work!"
"106",106,5,0,5,FALSE,"2020-04-03 17:14:22+00:00","GREAT news this week regarding the Keystone XL Pipeline – moving forward with fantastic paying CONSTRUCTION jobs for hardworking Americans. Promises Made, Promises Kept! #MAGA"
"107",107,7,1,6,FALSE,"2020-04-03 17:12:57+00:00","Highly respected Justice Daniel Kelly is running for the Supreme Court in the Great State of Wisconsin. Justice Kelly has been doing a terrific job upholding the Rule of Law and defending your #2A. Tough on Crime, Loves our Military and our Vets. He has my Complete Endorsement!"
"108",108,0,1,-1,TRUE,"2020-04-03 00:52:35+00:00","We hit 3M hard today after seeing what they were doing with their Masks. “P Act” all the way. Big surprise to many in government as to what they were doing - will have a big price to pay!"
