,DateTime,Text
184,2020-03-27 15:16:07+00:00,"As usual with “this” General Motors, things just never seem to work out. They said they were going to give us 40,000 much needed Ventilators, “very quickly”. Now they are saying it will only be 6000, in late April, and they want top dollar. Always a mess with Mary B. Invoke “P”."
185,2020-03-27 14:29:04+00:00,"Thank you Byron. Many polls are much better than this. If it is the Fake News @washingtonpost, add 10 points!"
186,2020-03-27 14:13:05+00:00,"By empowering the Radical Left Democrats, do nothing Kentucky politician @RepThomasMassie is making their War on the 2nd Amendment more and more difficult to win (But don’t worry, we will win anyway!). He is a disaster for America, and for the Great State of Kentucky!"
187,2020-03-27 13:44:50+00:00,"...& costly. Workers & small businesses need money now in order to survive. Virus wasn’t their fault. It is “HELL” dealing with the Dems, had to give up some stupid things in order to get the “big picture” done. 90% GREAT! WIN BACK HOUSE, but throw Massie out of Republican Party!"
188,2020-03-27 13:44:49+00:00,"Looks like a third rate Grandstander named @RepThomasMassie, a Congressman from, unfortunately, a truly GREAT State, Kentucky, wants to vote against the new Save Our Workers Bill in Congress. He just wants the publicity. He can’t stop it, only delay, which is both dangerous......"
189,2020-03-27 05:19:02+00:00,Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much & has developed a strong understanding of the Virus. We are working closely together. Much respect!
190,2020-03-26 23:50:02+00:00,The world is at war with a hidden enemy. WE WILL WIN!
191,2020-03-26 23:06:28+00:00,Our great Oil & Gas industry is under under seige after having one of the best years in recorded history. It will get better than ever as soon as our Country starts up again. Vital that it does for our National Security!
192,2020-03-26 20:57:15+00:00,Will be going out in 10 minutes for the press conference.
193,2020-03-26 15:36:38+00:00,"I will be doing a News Conference live from the @WhiteHouse at 5:00 P.M. (Eastern) to discuss the mtg of the G20 Leaders that took place this morning at 7:55 A.M. by World Teleconference. Also, my 12:00 P.M. Teleconference call w/50 Governors, plus Territories, will be discussed."
194,2020-03-26 04:48:58+00:00,96-0 in the United States Senate. Congratulations AMERICA!
